ph,temperature,turbidity,dissolved_oxygen,ammonia,label
8.99,27.76,21.18,6.53,0.037,TILAPIA
8.36,11.0,4.83,10.89,0.009,SALMON
7.46,21.91,23.05,5.96,0.019,ROHU
8.34,27.57,69.9,2.84,0.062,CATFISH
7.86,26.52,9.43,5.97,0.017,SHRIMP
8.26,26.88,21.74,6.24,0.041,TILAPIA
8.03,24.65,10.21,5.51,0.01,TILAPIA
8.3,30.34,10.07,6.13,0.002,SHRIMP
8.01,23.28,19.65,7.45,0.042,ROHU
6.08,22.3,87.58,3.76,0.013,CATFISH
8.57,26.17,48.61,4.83,0.042,TILAPIA
7.62,25.0,14.15,4.53,0.048,CARP
6.81,28.36,48.96,4.04,0.008,CATFISH
6.87,8.57,2.14,10.07,0.001,SALMON
6.39,24.0,68.45,5.0,0.066,CATFISH
7.78,11.62,3.29,9.31,0.007,SALMON
6.87,12.85,7.58,7.04,0.001,TROUT
6.69,10.18,4.9,8.53,0.0,SALMON
7.23,25.79,42.12,4.02,0.04,CATFISH
8.37,29.09,48.26,2.55,0.093,CATFISH
7.85,29.47,34.63,6.78,0.047,TILAPIA
7.88,27.4,27.26,5.55,0.032,CARP
8.53,30.57,35.04,6.28,0.033,TILAPIA
6.79,10.55,1.01,7.05,0.001,TROUT
7.0,15.25,3.85,9.04,0.003,TROUT
6.92,10.95,6.97,8.89,0.009,TROUT
7.63,27.68,26.44,5.69,0.028,CARP
7.99,13.3,3.72,9.33,0.003,TROUT
8.06,26.43,15.2,7.22,0.005,SHRIMP
8.4,28.03,17.4,5.96,0.018,SHRIMP
6.63,31.67,43.89,4.42,0.048,TILAPIA
8.43,25.73,33.96,5.85,0.015,ROHU
7.88,25.7,47.85,6.13,0.006,TILAPIA
7.49,8.4,2.75,9.32,0.009,SALMON
7.56,17.75,6.88,9.51,0.009,TROUT
7.58,29.21,6.09,7.47,0.014,SHRIMP
7.53,9.63,2.91,10.59,0.009,SALMON
8.87,31.89,40.14,4.51,0.004,TILAPIA
7.26,12.94,1.24,8.99,0.004,SALMON
6.52,11.28,0.28,8.36,0.001,SALMON
8.36,29.45,19.5,4.6,0.024,TILAPIA
8.67,25.79,48.53,3.05,0.048,TILAPIA
7.15,8.3,4.62,10.76,0.003,SALMON
7.95,14.18,6.29,9.09,0.005,TROUT
7.89,10.69,3.69,10.75,0.01,SALMON
7.96,28.72,9.16,5.56,0.009,SHRIMP
6.57,24.13,55.22,3.41,0.045,CATFISH
7.8,23.1,39.41,6.55,0.008,ROHU
7.58,30.64,11.25,6.74,0.018,SHRIMP
8.33,28.93,33.17,2.59,0.038,CATFISH
7.7,31.88,25.07,6.0,0.02,TILAPIA
7.76,16.71,4.69,8.24,0.003,TROUT
8.3,28.13,44.99,7.49,0.028,ROHU
7.95,13.3,1.89,8.72,0.002,SALMON
8.89,28.85,19.15,5.69,0.031,TILAPIA
7.4,18.22,24.94,5.9,0.042,CARP
8.13,26.42,69.27,5.57,0.04,CATFISH
7.04,27.55,33.61,6.61,0.011,ROHU
8.12,30.88,14.12,6.91,0.011,SHRIMP
7.86,12.79,5.14,9.35,0.004,TROUT
7.79,26.98,38.89,5.88,0.042,ROHU
7.15,27.67,49.2,4.97,0.016,TILAPIA
7.37,12.73,5.37,8.38,0.006,TROUT
6.71,15.13,1.82,8.04,0.009,TROUT
7.27,17.78,6.02,7.67,0.008,TROUT
6.7,23.42,36.21,2.92,0.046,CATFISH
8.24,23.03,53.11,3.63,0.009,CATFISH
7.94,20.82,41.21,7.26,0.003,ROHU
8.17,22.68,71.81,5.95,0.054,CATFISH
7.74,29.56,12.97,7.16,0.001,SHRIMP
6.88,15.71,8.95,8.54,0.005,TROUT
8.23,10.48,1.99,8.31,0.007,SALMON
7.03,21.22,16.34,5.31,0.006,CARP
7.36,27.79,24.2,5.6,0.024,TILAPIA
7.81,23.87,32.36,5.73,0.006,CARP
7.34,31.2,34.3,3.98,0.025,TILAPIA
8.11,26.42,6.53,5.46,0.005,SHRIMP
8.28,18.88,34.18,4.22,0.042,CARP
7.29,13.28,9.82,7.34,0.004,TROUT
8.38,18.05,39.25,5.96,0.036,CARP
8.43,28.34,13.57,5.84,0.015,SHRIMP
8.47,29.27,7.99,7.21,0.011,SHRIMP
8.03,26.31,33.25,3.62,0.024,TILAPIA
7.39,12.95,4.54,8.65,0.005,TROUT
6.81,28.48,47.82,4.89,0.076,CATFISH
7.21,14.85,7.94,7.32,0.009,TROUT
8.45,19.24,31.93,7.75,0.009,CARP
7.89,15.77,0.48,9.34,0.008,TROUT
6.9,9.15,0.82,10.44,0.007,SALMON
8.27,24.53,71.18,4.89,0.045,CATFISH
8.4,28.74,13.1,6.32,0.012,SHRIMP
8.75,27.07,31.74,6.63,0.031,TILAPIA
7.15,12.66,7.31,9.08,0.002,TROUT
7.93,25.33,41.82,6.87,0.008,ROHU
8.27,30.23,15.73,3.82,0.036,TILAPIA
8.25,10.39,4.11,8.33,0.008,SALMON
7.6,25.97,14.5,4.92,0.036,CARP
6.03,26.79,69.59,5.01,0.06,CATFISH
7.27,27.08,27.5,5.6,0.023,CARP
8.11,30.47,7.09,5.3,0.005,SHRIMP
7.89,19.02,37.56,7.16,0.001,CARP
7.23,25.76,33.2,5.77,0.037,ROHU
8.81,27.61,14.53,6.94,0.042,TILAPIA
8.34,26.99,9.67,5.68,0.012,SHRIMP
7.08,23.35,39.09,4.51,0.017,ROHU
7.62,28.64,42.69,5.9,0.024,ROHU
7.18,11.8,4.52,7.42,0.002,TROUT
7.25,20.34,24.34,6.84,0.014,ROHU
6.03,27.31,42.46,5.86,0.015,CATFISH
8.36,28.21,7.77,5.9,0.006,SHRIMP
8.25,26.26,18.47,5.62,0.004,SHRIMP
7.26,13.86,2.94,8.88,0.007,SALMON
7.31,25.53,58.05,4.46,0.016,CATFISH
7.34,24.6,40.13,4.09,0.045,TILAPIA
7.02,22.2,40.93,5.01,0.066,CATFISH
7.88,26.03,17.84,5.02,0.03,TILAPIA
8.5,25.43,36.11,3.95,0.005,TILAPIA
8.1,29.84,19.44,7.83,0.003,SHRIMP
7.79,30.38,5.2,5.26,0.004,SHRIMP
6.68,17.01,6.43,9.11,0.009,TROUT
7.18,9.82,1.9,9.77,0.003,SALMON
7.19,13.42,1.81,10.58,0.002,SALMON
7.91,23.12,90.79,4.21,0.089,CATFISH
7.71,28.1,39.67,5.8,0.02,TILAPIA
6.85,30.68,49.38,5.1,0.009,TILAPIA
8.02,28.23,30.89,6.95,0.025,ROHU
7.39,27.21,88.08,3.22,0.001,CATFISH
7.03,9.87,3.66,8.75,0.006,SALMON
6.85,14.4,2.09,9.15,0.005,SALMON
6.42,27.9,35.8,4.61,0.025,CATFISH
8.17,11.06,4.58,10.16,0.006,SALMON
7.98,28.98,19.05,7.2,0.004,SHRIMP
7.81,19.62,35.25,7.39,0.048,CARP
7.0,16.17,1.07,7.23,0.007,TROUT
8.26,28.79,28.39,3.3,0.004,TILAPIA
8.04,20.72,27.71,5.44,0.005,CARP
7.94,16.32,6.91,8.56,0.001,TROUT
7.6,16.45,6.59,9.08,0.008,TROUT
8.76,29.17,37.73,3.21,0.033,TILAPIA
7.47,29.99,68.91,4.16,0.031,CATFISH
8.05,22.97,42.73,7.41,0.047,ROHU
7.86,22.44,61.86,4.33,0.064,CATFISH
8.1,26.38,6.81,5.23,0.014,SHRIMP
7.81,22.52,52.07,4.39,0.079,CATFISH
8.34,28.16,27.07,6.51,0.021,TILAPIA
7.81,10.17,8.75,8.59,0.009,TROUT
6.61,10.08,0.53,7.27,0.0,TROUT
7.94,26.74,39.52,7.07,0.021,CARP
7.78,27.32,15.1,5.9,0.015,ROHU
6.74,23.87,32.95,2.56,0.099,CATFISH
6.77,27.13,14.98,6.83,0.04,TILAPIA
6.68,10.92,4.4,10.83,0.005,SALMON
8.48,13.2,0.32,9.2,0.008,SALMON
8.11,28.08,8.46,5.53,0.004,SHRIMP
8.89,30.61,42.03,5.52,0.011,TILAPIA
8.82,31.96,16.96,4.58,0.038,TILAPIA
8.5,30.38,11.95,6.87,0.015,SHRIMP
7.98,28.64,13.66,6.51,0.013,TILAPIA
7.72,18.44,35.57,4.14,0.016,CARP
7.88,24.7,26.34,4.49,0.013,TILAPIA
6.6,11.73,4.81,8.33,0.009,SALMON
8.2,11.47,2.4,9.78,0.008,SALMON
7.36,28.92,81.37,4.32,0.087,CATFISH
8.28,26.67,31.25,7.35,0.035,CARP
6.26,27.59,43.25,5.59,0.096,CATFISH
6.57,30.61,15.15,4.34,0.037,TILAPIA
7.0,25.56,37.7,5.28,0.01,ROHU
7.73,14.87,3.16,8.78,0.006,SALMON
8.06,8.75,3.81,9.62,0.01,SALMON
7.59,21.79,37.61,6.87,0.009,ROHU
7.1,21.01,31.25,4.27,0.029,CARP
6.64,24.6,44.1,6.96,0.034,TILAPIA
8.12,19.3,32.75,4.1,0.001,CARP
7.87,29.91,8.79,5.0,0.003,SHRIMP
8.49,25.41,61.6,3.07,0.079,CATFISH
7.1,13.88,3.86,8.69,0.001,SALMON
7.93,11.21,4.32,9.83,0.004,TROUT
7.95,16.08,4.42,7.94,0.003,TROUT
7.73,26.28,5.47,6.96,0.007,SHRIMP
7.71,25.43,19.78,5.11,0.005,ROHU
7.68,25.3,15.54,6.89,0.015,ROHU
8.45,19.85,23.86,4.0,0.03,CARP
8.19,27.58,8.01,6.47,0.001,SHRIMP
7.83,28.54,11.5,7.95,0.003,SHRIMP
6.64,10.75,2.4,9.8,0.003,SALMON
8.01,14.67,4.54,10.17,0.007,SALMON
7.11,31.89,15.7,5.0,0.031,TILAPIA
7.52,25.76,38.24,4.29,0.027,CARP
7.38,24.27,13.14,4.59,0.007,TILAPIA
7.3,26.93,39.64,4.62,0.034,ROHU
6.69,17.17,5.95,8.85,0.006,TROUT
8.27,30.97,38.56,6.21,0.017,TILAPIA
7.23,15.29,5.53,8.79,0.008,TROUT
7.97,25.26,36.95,4.74,0.003,ROHU
7.98,24.79,33.47,5.49,0.024,ROHU
6.86,13.53,3.29,9.49,0.006,SALMON
7.63,24.66,67.97,4.23,0.008,CATFISH
7.52,10.58,0.31,7.77,0.005,TROUT
8.46,27.5,17.69,6.89,0.015,SHRIMP
8.49,25.24,18.01,6.74,0.009,SHRIMP
7.29,12.24,2.99,10.38,0.007,SALMON
7.39,17.3,2.11,8.87,0.006,TROUT
7.35,27.76,27.16,6.31,0.032,ROHU
8.47,26.09,17.82,6.48,0.005,SHRIMP
7.61,23.93,27.38,6.65,0.005,CARP
7.48,31.76,20.33,5.63,0.016,TILAPIA
7.2,27.7,23.61,4.94,0.004,CARP
7.83,27.69,15.04,5.44,0.009,SHRIMP
7.92,12.02,3.59,8.14,0.006,TROUT
8.0,24.75,40.33,6.92,0.029,ROHU
7.84,25.4,16.03,7.46,0.006,ROHU
8.37,8.28,0.61,9.36,0.009,SALMON
6.71,12.09,3.44,9.19,0.005,SALMON
6.51,17.61,6.39,9.6,0.005,TROUT
7.78,23.43,30.97,4.88,0.007,ROHU
8.06,20.02,30.2,7.88,0.005,CARP
7.39,14.08,0.89,10.08,0.008,SALMON
6.94,22.14,47.09,5.41,0.086,CATFISH
6.58,31.45,37.58,5.71,0.011,TILAPIA
7.89,28.91,6.6,6.97,0.02,SHRIMP
7.82,30.2,19.9,7.26,0.002,SHRIMP
8.11,28.79,27.12,5.48,0.033,ROHU
8.4,30.27,9.76,7.61,0.008,SHRIMP
8.04,25.03,9.87,6.1,0.008,SHRIMP
7.26,11.84,2.98,9.64,0.004,SALMON
7.57,28.62,15.02,6.86,0.009,SHRIMP
7.31,17.61,8.47,9.74,0.008,TROUT
7.45,27.19,33.21,5.13,0.03,TILAPIA
8.22,27.18,43.67,4.55,0.01,ROHU
8.35,20.71,43.64,6.46,0.019,ROHU
8.4,21.52,13.04,5.94,0.013,CARP
8.01,27.3,25.97,6.32,0.004,CARP
8.22,26.64,11.2,5.37,0.004,SHRIMP
8.29,28.0,20.54,5.39,0.04,ROHU
7.01,14.74,2.42,10.42,0.006,SALMON
7.77,14.66,3.01,10.46,0.009,SALMON
8.48,29.17,16.99,4.44,0.045,TILAPIA
7.09,30.24,20.99,6.29,0.021,TILAPIA
8.02,28.13,40.48,3.98,0.015,CATFISH
8.34,30.9,18.67,3.38,0.001,TILAPIA
7.35,22.06,34.14,5.27,0.032,ROHU
7.74,31.9,15.46,5.78,0.02,TILAPIA
7.95,29.35,5.24,6.02,0.016,SHRIMP
8.09,23.78,18.22,4.32,0.004,CARP
7.99,27.21,24.68,4.37,0.031,TILAPIA
7.54,8.47,4.0,8.7,0.005,SALMON
8.09,29.08,8.46,6.37,0.004,SHRIMP
8.49,27.29,69.04,5.06,0.047,CATFISH
8.06,30.75,7.63,7.07,0.004,SHRIMP
6.24,25.6,82.93,3.72,0.066,CATFISH
7.71,21.83,13.59,7.9,0.001,CARP
8.39,23.4,35.26,6.08,0.031,CARP
7.97,28.92,72.59,4.27,0.016,CATFISH
6.57,10.12,1.32,9.08,0.001,SALMON
6.86,14.08,8.25,7.84,0.009,TROUT
7.29,29.36,64.79,5.97,0.085,CATFISH
7.25,25.18,67.78,4.7,0.067,CATFISH
8.17,28.45,85.3,3.57,0.008,CATFISH
6.55,9.08,1.12,10.87,0.006,SALMON
8.06,23.06,90.34,5.73,0.049,CATFISH
8.4,29.98,9.76,7.86,0.017,SHRIMP
7.24,8.48,0.13,8.41,0.01,SALMON
8.17,19.22,27.83,7.75,0.044,CARP
6.71,12.49,1.08,9.86,0.007,SALMON
7.08,14.52,1.92,7.64,0.005,TROUT
6.14,27.56,98.86,3.34,0.014,CATFISH
8.46,26.12,17.11,5.77,0.031,TILAPIA
8.5,26.14,28.46,5.23,0.031,CARP
8.27,25.24,33.76,5.62,0.033,CARP
7.05,13.31,8.28,9.2,0.008,TROUT
7.75,25.8,11.28,7.37,0.012,SHRIMP
7.21,25.35,21.46,4.54,0.012,ROHU
6.9,8.45,0.21,9.11,0.003,SALMON
7.18,16.75,0.98,8.46,0.002,TROUT
7.37,24.52,34.32,6.46,0.043,CARP
7.96,29.14,96.87,5.25,0.032,CATFISH
8.52,24.61,21.17,6.72,0.013,TILAPIA
8.15,11.47,1.93,9.35,0.002,SALMON
6.67,28.15,16.01,5.95,0.026,TILAPIA
6.6,8.27,3.73,9.98,0.008,SALMON
6.52,17.65,7.38,8.06,0.003,TROUT
7.96,17.54,7.84,8.06,0.004,TROUT
7.82,13.35,1.33,8.06,0.001,SALMON
8.35,25.82,16.84,7.9,0.033,CARP
6.68,14.92,7.75,8.93,0.005,TROUT
8.4,26.93,6.88,6.42,0.002,SHRIMP
7.66,13.24,4.06,9.97,0.001,SALMON
7.17,25.99,17.85,5.63,0.028,ROHU
7.53,29.54,46.85,2.93,0.02,CATFISH
7.51,30.95,15.07,5.95,0.018,SHRIMP
8.38,20.52,32.65,5.84,0.042,CARP
8.28,28.94,7.66,6.64,0.02,SHRIMP
8.04,29.37,6.62,7.06,0.002,SHRIMP
6.53,26.05,88.85,5.06,0.054,CATFISH
7.99,12.28,0.53,8.45,0.001,SALMON
7.95,25.61,14.8,5.85,0.0,CARP
8.35,31.05,21.12,3.78,0.044,TILAPIA
6.51,26.44,81.31,4.66,0.019,CATFISH
7.44,28.31,30.97,6.39,0.042,TILAPIA
8.12,20.02,38.74,5.47,0.016,CARP
7.76,13.76,5.02,7.37,0.004,TROUT
8.08,26.86,27.79,5.57,0.021,CARP
7.0,26.2,25.66,6.88,0.005,ROHU
8.31,25.1,36.7,4.81,0.011,ROHU
7.84,24.03,30.29,7.22,0.013,CARP
7.48,24.36,14.47,6.78,0.037,CARP
7.77,28.31,66.21,4.04,0.015,CATFISH
8.1,22.36,26.14,4.69,0.04,ROHU
8.5,29.33,34.28,5.76,0.032,ROHU
7.18,24.1,40.19,5.65,0.029,ROHU
6.87,10.54,1.67,8.08,0.0,SALMON
8.09,29.19,18.94,7.35,0.001,SHRIMP
7.14,16.98,8.42,7.56,0.008,TROUT
8.34,27.65,74.18,2.67,0.09,CATFISH
7.16,15.84,7.66,7.48,0.006,TROUT
7.6,27.23,24.16,4.05,0.014,CARP
6.71,24.09,47.29,5.67,0.025,CATFISH
7.93,30.07,9.02,5.47,0.017,SHRIMP
6.59,17.25,1.39,8.6,0.004,TROUT
7.13,22.37,36.97,6.14,0.006,ROHU
7.59,28.28,38.63,6.37,0.025,ROHU
7.01,12.58,0.99,9.7,0.005,SALMON
8.87,31.74,17.32,3.09,0.036,TILAPIA
7.38,28.51,31.84,6.07,0.006,ROHU
7.01,26.34,85.42,4.42,0.061,CATFISH
7.96,27.91,7.49,7.84,0.017,SHRIMP
6.24,28.9,62.21,5.12,0.029,CATFISH
7.77,28.06,28.78,4.66,0.039,ROHU
8.31,25.45,37.75,6.76,0.001,ROHU
7.82,9.13,1.28,10.84,0.006,SALMON
8.16,18.27,11.96,5.86,0.045,CARP
7.48,30.39,24.88,4.81,0.02,TILAPIA
7.66,17.72,2.04,8.57,0.003,TROUT
8.14,20.76,19.37,6.57,0.01,CARP
8.03,25.95,15.44,7.38,0.006,SHRIMP
7.04,17.18,1.69,8.52,0.006,TROUT
7.28,28.94,34.63,4.96,0.022,ROHU
8.47,30.14,6.76,7.22,0.006,SHRIMP
7.54,31.87,36.72,5.54,0.008,TILAPIA
8.48,28.94,6.95,7.06,0.002,SHRIMP
8.08,26.9,12.38,6.93,0.009,CARP
7.09,14.43,0.55,10.28,0.01,SALMON
8.05,25.67,55.05,4.23,0.083,CATFISH
7.79,20.44,13.39,4.35,0.036,CARP
6.71,12.78,4.5,9.25,0.007,TROUT
8.24,29.84,17.66,5.76,0.001,SHRIMP
7.85,10.28,3.43,8.21,0.002,SALMON
8.14,31.93,12.91,3.31,0.017,TILAPIA
7.28,24.44,44.89,2.62,0.03,CATFISH
8.26,30.42,8.49,7.42,0.001,SHRIMP
7.39,29.07,35.12,6.18,0.006,ROHU
7.96,30.19,13.2,6.14,0.02,SHRIMP
7.98,25.11,11.32,5.08,0.019,SHRIMP
8.36,26.75,18.66,7.26,0.016,SHRIMP
8.47,24.21,26.78,6.51,0.027,CARP
7.81,10.9,7.04,8.62,0.001,TROUT
7.55,28.4,9.26,7.47,0.001,SHRIMP
7.25,29.95,11.93,6.61,0.043,TILAPIA
7.33,26.72,49.56,5.5,0.027,TILAPIA
8.29,25.21,13.74,7.99,0.017,SHRIMP
7.99,22.52,21.61,5.97,0.037,ROHU
8.77,29.35,43.17,6.52,0.029,TILAPIA
7.89,8.58,4.55,9.39,0.001,SALMON
7.84,13.55,6.07,8.89,0.006,TROUT
7.78,12.73,0.66,8.7,0.008,SALMON
7.48,17.6,6.01,9.23,0.005,TROUT
7.61,28.91,15.09,4.62,0.03,ROHU
6.71,12.21,9.72,7.99,0.005,TROUT
8.11,26.68,8.1,6.55,0.0,SHRIMP
7.55,30.0,17.66,5.85,0.009,SHRIMP
7.64,11.59,1.47,10.8,0.004,SALMON
7.07,13.73,2.66,10.64,0.006,SALMON
7.74,27.02,44.78,4.89,0.014,ROHU
7.47,29.84,45.29,5.68,0.013,TILAPIA
7.12,13.77,4.78,10.46,0.0,SALMON
6.5,15.74,8.3,7.12,0.009,TROUT
6.29,25.07,61.94,3.79,0.012,CATFISH
7.82,27.0,22.13,5.28,0.037,CARP
7.67,27.43,55.33,4.58,0.001,CATFISH
6.35,22.93,40.8,3.1,0.064,CATFISH
8.3,8.47,2.67,8.43,0.0,SALMON
8.03,27.69,6.27,6.2,0.018,SHRIMP
8.06,27.06,15.94,6.96,0.017,SHRIMP
8.35,27.42,6.16,6.63,0.017,SHRIMP
7.95,29.79,17.34,7.57,0.018,SHRIMP
7.15,28.9,15.37,5.61,0.001,ROHU
8.03,21.75,15.01,5.72,0.007,CARP
7.36,25.24,11.02,5.58,0.032,TILAPIA
7.08,16.33,5.96,7.3,0.008,TROUT
8.1,26.64,69.18,2.87,0.017,CATFISH
7.21,22.22,65.38,5.87,0.038,CATFISH
6.81,17.41,4.14,8.19,0.003,TROUT
7.42,10.02,4.5,8.35,0.01,SALMON
7.45,11.11,4.97,9.64,0.001,SALMON
7.94,13.12,3.86,8.02,0.005,TROUT
7.46,11.73,0.84,8.74,0.008,SALMON
6.95,12.07,1.95,7.17,0.003,TROUT
7.35,26.31,26.34,4.66,0.029,CARP
7.39,12.38,2.44,9.21,0.01,SALMON
7.45,21.26,33.78,5.85,0.037,CARP
8.28,25.11,37.21,4.53,0.03,CARP
7.81,26.27,90.9,2.96,0.079,CATFISH
7.09,24.81,24.0,4.14,0.048,CARP
7.19,17.85,4.83,9.59,0.006,TROUT
7.23,26.18,69.39,4.04,0.061,CATFISH
7.41,29.81,45.78,4.82,0.022,TILAPIA
8.15,25.74,43.68,5.1,0.005,ROHU
7.0,24.4,18.95,4.96,0.016,CARP
7.17,14.08,6.27,9.78,0.0,TROUT
8.19,29.34,15.39,5.4,0.006,SHRIMP
8.21,20.79,16.32,7.83,0.0,CARP
6.8,17.96,0.9,7.01,0.0,TROUT
8.25,25.4,14.29,7.01,0.038,CARP
8.42,30.77,34.54,3.35,0.024,TILAPIA
7.78,29.12,5.37,5.92,0.011,SHRIMP
8.31,30.69,6.08,7.87,0.01,SHRIMP
6.19,26.0,85.62,4.97,0.005,CATFISH
7.78,27.33,44.78,5.52,0.04,CATFISH
8.39,24.05,42.18,5.46,0.024,ROHU
7.87,25.75,11.35,3.86,0.021,TILAPIA
6.81,31.11,30.12,4.8,0.029,TILAPIA
7.57,29.1,8.63,7.14,0.016,SHRIMP
7.83,25.2,19.29,6.83,0.014,ROHU
7.24,28.82,39.71,6.67,0.014,ROHU
7.29,24.0,30.45,3.19,0.014,TILAPIA
8.4,28.5,12.0,6.02,0.019,SHRIMP
8.36,13.79,0.65,9.69,0.009,SALMON
8.18,26.92,23.01,7.64,0.019,CARP
8.01,19.16,11.27,6.26,0.047,CARP
8.26,24.03,16.68,5.85,0.033,TILAPIA
7.2,25.04,37.04,6.78,0.013,TILAPIA
8.17,24.44,11.45,5.44,0.048,CARP
8.3,22.76,13.33,6.54,0.039,CARP
6.63,30.14,26.66,6.29,0.043,TILAPIA
8.14,27.78,45.21,3.86,0.034,TILAPIA
6.57,10.76,4.65,8.38,0.007,SALMON
8.14,27.37,15.7,5.6,0.018,SHRIMP
7.06,24.67,34.7,7.13,0.027,CARP
8.25,20.15,26.37,5.51,0.001,ROHU
8.42,18.31,32.09,5.32,0.045,CARP
7.01,22.64,38.9,6.08,0.034,CARP
7.68,20.67,16.59,4.53,0.043,CARP
7.52,29.62,17.11,5.36,0.005,SHRIMP
7.18,13.17,1.12,9.93,0.006,SALMON
7.49,14.39,8.79,9.03,0.005,TROUT
8.02,26.33,18.28,3.61,0.045,TILAPIA
6.96,9.73,2.42,10.24,0.005,SALMON
7.46,29.92,46.74,4.36,0.065,CATFISH
7.94,10.6,3.66,7.68,0.002,TROUT
8.24,28.78,52.06,3.47,0.098,CATFISH
7.58,24.74,17.8,5.38,0.046,CARP
7.97,30.34,15.62,5.19,0.003,SHRIMP
7.49,9.61,0.22,9.25,0.003,SALMON
6.6,26.0,77.57,2.77,0.027,CATFISH
8.26,28.28,7.7,6.38,0.011,SHRIMP
7.95,26.26,5.75,7.53,0.02,SHRIMP
7.55,10.74,3.3,8.33,0.006,SALMON
8.49,25.12,39.43,6.28,0.013,CARP
8.8,25.41,18.56,3.05,0.001,TILAPIA
8.19,27.08,38.31,7.84,0.026,CARP
8.42,25.14,89.8,5.21,0.031,CATFISH
8.14,29.0,7.44,6.7,0.015,SHRIMP
8.1,30.01,16.77,6.13,0.011,SHRIMP
7.95,22.22,24.65,7.04,0.036,ROHU
6.88,11.97,4.03,9.68,0.0,TROUT
7.43,21.98,37.59,7.97,0.002,CARP
7.46,12.45,0.45,8.1,0.001,SALMON
7.87,23.57,38.63,5.25,0.028,ROHU
7.12,16.78,9.02,9.63,0.01,TROUT
7.76,22.21,16.17,4.61,0.009,ROHU
7.7,23.8,60.2,5.02,0.056,CATFISH
7.53,13.31,1.41,9.06,0.009,SALMON
8.27,24.01,37.89,6.97,0.044,ROHU
6.51,26.73,43.03,3.66,0.086,CATFISH
7.95,21.64,18.86,7.52,0.023,CARP
8.22,28.36,24.97,6.58,0.039,ROHU
8.06,26.13,62.43,2.66,0.029,CATFISH
6.58,8.9,3.83,8.0,0.004,SALMON
7.86,29.34,8.01,5.61,0.0,SHRIMP
7.35,18.01,31.88,7.87,0.011,CARP
7.96,24.16,37.77,6.33,0.045,ROHU
7.93,13.72,0.91,9.11,0.009,SALMON
7.91,26.32,16.44,6.63,0.003,SHRIMP
7.12,16.03,0.21,7.81,0.005,TROUT
8.88,24.34,20.61,5.41,0.015,TILAPIA
6.82,28.48,41.23,5.83,0.009,TILAPIA
8.83,30.62,37.89,5.86,0.023,TILAPIA
6.81,25.0,44.02,4.38,0.002,TILAPIA
6.99,26.76,23.42,6.91,0.043,TILAPIA
8.15,26.71,28.06,6.15,0.016,ROHU
6.41,28.29,81.41,3.85,0.003,CATFISH
7.19,25.98,28.48,7.37,0.005,CARP
7.25,15.65,5.34,8.62,0.004,TROUT
7.94,14.04,0.9,10.4,0.006,SALMON
7.34,26.79,34.26,6.71,0.031,CARP
8.18,27.38,85.77,3.38,0.062,CATFISH
7.78,17.86,6.28,7.74,0.002,TROUT
7.87,26.3,22.27,4.41,0.031,TILAPIA
7.58,31.02,34.22,3.99,0.018,TILAPIA
7.08,27.48,53.27,2.7,0.037,CATFISH
8.47,25.85,32.0,4.46,0.039,CARP
